,Market_Size,Trust_Rate,Cooperating_Agents
976,0.871,0.836,0.614
977,0.89,0.826,0.588
978,0.881,0.833,0.577
979,0.895,0.868,0.621
980,0.897,0.863,0.616
981,0.903,0.862,0.576
982,0.911,0.856,0.53
983,0.877,0.83,0.51
984,0.891,0.838,0.534
985,0.879,0.821,0.569
986,0.848,0.804,0.6
987,0.85,0.797,0.608
988,0.852,0.801,0.593
989,0.865,0.826,0.592
990,0.858,0.841,0.57
991,0.886,0.84,0.584
992,0.906,0.83,0.56
993,0.903,0.832,0.55
994,0.863,0.811,0.549
995,0.87,0.829,0.518
996,0.873,0.843,0.481
997,0.849,0.822,0.515
998,0.839,0.829,0.481
999,0.865,0.804,0.502
